EntryID,ID,Title,URL
ACM_4_6,DOI:10.1145/2557547.2557577,Measuring the robustness of source program obfuscation: studying the impact of compiler optimizations on the obfuscation of C programs,https://doi.org/10.1145/2557547.2557577
ACM_4_7,DOI:10.1145/3293880.3294103,Formal verification of a program obfuscation based on mixed Boolean-arithmetic expressions,https://doi.org/10.1145/3293880.3294103
ACM_4_8,DOI:10.1145/2038476.2038493,Model-based customizable adaptation of web applications for vocal browsing,https://doi.org/10.1145/2038476.2038493
ACM_4_9,DOI:10.1145/2843859.2843861,Lightweight heuristics to retrieve parameter associations from binaries,https://doi.org/10.1145/2843859.2843861
ACM_4_10,DOI:10.1145/2532352.2532354,Extracting UML class diagrams from object-oriented Fortran: ForUML,https://doi.org/10.1145/2532352.2532354
ACM_4_11,DOI:10.1145/1314389.1314399,Renovo: a hidden code extractor for packed executables,https://doi.org/10.1145/1314389.1314399
ACM_4_12,DOI:10.1145/3639478.3639797,Enhancing Model-Driven Reverse Engineering Using Machine Learning,https://doi.org/10.1145/3639478.3639797
ACM_4_13,ISBN:3540752080,Runtime debugging using reverse-engineered UML,
ACM_4_14,DOI:10.1145/3579028.3609015,DSDGen: Extracting Documentation to Comprehend Fork Merges,https://doi.org/10.1145/3579028.3609015
ACM_4_15,DOI:10.1145/3613905.3636316,"Computational Methodologies for Understanding, Automating, and Evaluating User Interfaces",https://doi.org/10.1145/3613905.3636316
ACM_4_16,DOI:10.1145/2597008.2597790,Understanding the database manipulation behavior of programs,https://doi.org/10.1145/2597008.2597790
ACM_4_17,DOI:10.1145/3571788.3571801,A Call for Removing Variability,https://doi.org/10.1145/3571788.3571801
ACM_4_18,DOI:10.1145/3129676.3129708,An Anti-Reverse Engineering Technique using Native code and Obfuscator-LLVM for Android Applications,https://doi.org/10.1145/3129676.3129708
ACM_4_19,DOI:10.1145/3456299,Software-driven Security Attacks: From Vulnerability Sources to Durable Hardware Defenses,https://doi.org/10.1145/3456299
ACM_4_20,,Framework instantiation using cookbooks constructed with static and dynamic analysis,
ACM_4_21,DOI:10.1145/3229345.3229409,AutoCosmic: COSMIC Automated Estimation and Management Tool,https://doi.org/10.1145/3229345.3229409
ACM_4_22,DOI:10.1145/3098954.3098995,VMAttack: Deobfuscating Virtualization-Based Packed Binaries,https://doi.org/10.1145/3098954.3098995
ACM_4_23,DOI:10.1145/2897845.2897850,ORIGEN: Automatic Extraction of Offset-Revealing Instructions for Cross-Version Memory Analysis,https://doi.org/10.1145/2897845.2897850
ACM_4_24,DOI:10.1109/ASE.2019.00094,Cautious adaptation of defiant components,https://doi.org/10.1109/ASE.2019.00094
ACM_4_25,DOI:10.1145/1842752.1842785,First International Workshop on Measurability of Security in Software Architectures -- MeSSa 2010,https://doi.org/10.1145/1842752.1842785
ACM_4_26,DOI:10.1145/2465478.2465495,Improving product copy consolidation by architecture-aware difference analysis,https://doi.org/10.1145/2465478.2465495
ACM_4_27,DOI:10.1145/2304676.2304679,Respecting component architecture to migrate product copies to a software product line,https://doi.org/10.1145/2304676.2304679
ACM_4_28,DOI:10.1145/1595356.1595372,Algorithm recognition by static analysis and its application in students' submissions assessment,https://doi.org/10.1145/1595356.1595372
ACM_4_29,DOI:10.1145/1082983.1083004,Why teach reverse engineering?,https://doi.org/10.1145/1082983.1083004
ACM_4_30,DOI:10.1145/3319535.3354244,Where Does It Go? Refining Indirect-Call Targets with Multi-Layer Type Analysis,https://doi.org/10.1145/3319535.3354244
ACM_4_31,DOI:10.1145/3307630.3342403,Usage Scenarios for a Common Feature Modeling Language,https://doi.org/10.1145/3307630.3342403
ACM_4_32,DOI:10.1145/3377024.3377044,Activities and costs of re-engineering cloned variants into an integrated platform,https://doi.org/10.1145/3377024.3377044
ACM_4_34,DOI:10.1145/2487766.2487773,Tool support for clustering large meta-models,https://doi.org/10.1145/2487766.2487773
ACM_4_35,DOI:10.1145/2797433.2797494,Feature-Oriented Reflexion Modelling,https://doi.org/10.1145/2797433.2797494
ACM_4_36,DOI:10.1145/1062455.1062637,Reverse engineering of object oriented code,https://doi.org/10.1145/1062455.1062637
ACM_4_37,DOI:10.1145/3095811,A More Intelligent Test Case Generation Approach through Task Models Manipulation,https://doi.org/10.1145/3095811
ACM_4_38,DOI:10.1145/1621995.1622043,Documenting software systems with views VI: lessons learned from 15 years of research \&amp; practice,https://doi.org/10.1145/1621995.1622043
ACM_4_39,ISBN:9780769555942,A study on the role of software architecture in the evolution and quality of software,
ACM_4_40,DOI:10.1145/1982595.1982605,Automatically testing interactive multimodal systems using task trees and fusion models,https://doi.org/10.1145/1982595.1982605
ACM_4_41,ISBN:9781921770241,A tale of two studies,
ACM_4_42,DOI:10.1145/1866029.1866057,UIMarks: quick graphical interaction with specific targets,https://doi.org/10.1145/1866029.1866057
ACM_4_43,DOI:10.1145/1316874.1316877,Reusing relational sources for semantic information access,https://doi.org/10.1145/1316874.1316877
ACM_4_44,DOI:10.1145/2559979,Task model-driven realization of interactive application functionality through services,https://doi.org/10.1145/2559979
ACM_4_45,DOI:10.1145/1029894.1029926,Refining code-design mapping with flow analysis,https://doi.org/10.1145/1029894.1029926
ACM_5_2,DOI:10.1145/3699674,REMaQE: Reverse Engineering Math Equations from Executables,https://doi.org/10.1145/3699674
ACM_5_3,DOI:10.1145/3564625.3567993,A Qualitative Evaluation of Reverse Engineering Tool Usability,https://doi.org/10.1145/3564625.3567993
ACM_5_4,DOI:10.1145/3650212.3652141,Multi-modal Learning for WebAssembly Reverse Engineering,https://doi.org/10.1145/3650212.3652141
ACM_5_5,DOI:10.1145/3597926.3598115,Fuzzing Embedded Systems using Debug Interfaces,https://doi.org/10.1145/3597926.3598115
ACM_5_7,DOI:10.1145/3289239.3291459,Leave It to Weaver,https://doi.org/10.1145/3289239.3291459
ACM_5_8,DOI:10.1145/3098954.3098959,A Cloud-Based Compilation and Hardening Platform for Android Apps,https://doi.org/10.1145/3098954.3098959
ACM_5_9,,Detecting clones in Android applications through analyzing user interfaces,
ACM_5_11,DOI:10.1145/2597008.2597804,Comprehension support during knowledge transitions: learning from field,https://doi.org/10.1145/2597008.2597804
ACM_5_13,DOI:10.1145/3387904.3389275,Evaluating a Visual Approach for Understanding JavaScript Source Code,https://doi.org/10.1145/3387904.3389275
ACM_5_14,DOI:10.1145/1566445.1566466,Toward automatic artifact matching for tool evaluation,https://doi.org/10.1145/1566445.1566466
ACM_5_16,DOI:10.1145/1314276.1314290,"Slicing obfuscations: design, correctness, and evaluation",https://doi.org/10.1145/1314276.1314290
ACM_5_17,DOI:10.1145/1108792.1108816,Static control-flow analysis for reverse engineering of UML sequence diagrams,https://doi.org/10.1145/1108792.1108816
ACM_5_19,DOI:10.1145/2557547.2557558,DIVILAR: diversifying intermediate language for anti-repackaging on android platform,https://doi.org/10.1145/2557547.2557558
ACM_5_20,DOI:10.1145/1188966.1188969,"Towards evidence-supported, question-directed collaborative program comprehension",https://doi.org/10.1145/1188966.1188969
ACM_5_21,ISBN:9783540694885,A unified ontology-based process model for software maintenance and comprehension,
ACM_5_22,DOI:10.1145/3613904.3642837,I see an IC: A Mixed-Methods Approach to Study Human Problem-Solving Processes in Hardware Reverse Engineering,https://doi.org/10.1145/3613904.3642837
ACM_5_23,DOI:10.1145/3611643.3616301,PEM: Representing Binary Program Semantics for Similarity Analysis via a Probabilistic Execution Model,https://doi.org/10.1145/3611643.3616301
ACM_5_24,DOI:10.1109/IAT.2006.61,Empirical Analysis for Agent System Comprehension and Verification,https://doi.org/10.1109/IAT.2006.61
ACM_5_26,DOI:10.1145/2947626.2947635,Strategies for Protecting Intellectual Property when Using CUDA Applications on Graphics Processing Units,https://doi.org/10.1145/2947626.2947635
ACM_5_29,DOI:10.1145/3183519.3183524,"Protecting million-user iOS apps with obfuscation: motivations, pitfalls, and experience",https://doi.org/10.1145/3183519.3183524
ACM_5_30,DOI:10.1145/3324884.3416582,Automated third-party library detection for Android applications: are we there yet?,https://doi.org/10.1145/3324884.3416582
ACM_5_31,DOI:10.1109/ICPC.2017.16,RepDroid: an automated tool for Android application repackaging detection,https://doi.org/10.1109/ICPC.2017.16
ACM_5_32,DOI:10.1145/3337722.3341826,S4LVE: shareable videogame analysis and visualization,https://doi.org/10.1145/3337722.3341826
ACM_5_34,DOI:10.1145/3411502.3418428,On the Impact of Exception Handling Compatibility on Binary Instrumentation,https://doi.org/10.1145/3411502.3418428
ACM_5_35,DOI:10.1145/2000756.2000759,Social security: collaborative documentation for malware analysis,https://doi.org/10.1145/2000756.2000759
ACM_5_36,DOI:10.1145/3273045.3273051,Towards Interface-Driven COTS Binary Hardening,https://doi.org/10.1145/3273045.3273051
ACM_5_37,DOI:10.1145/2897845.2897894,ROPMEMU: A Framework for the Analysis of Complex Code-Reuse Attacks,https://doi.org/10.1145/2897845.2897894
ACM_5_38,DOI:10.1145/2361276.2361279,Evaluating an early software engineering course with projects and tools from open source software,https://doi.org/10.1145/2361276.2361279
ACM_5_39,DOI:10.1109/MOBILESoft.2017.18,Who changed you? obfuscator identification for Android,https://doi.org/10.1109/MOBILESoft.2017.18
ACM_5_40,DOI:10.1145/1831708.1831741,N-version disassembly: differential testing of x86 disassemblers,https://doi.org/10.1145/1831708.1831741
ACM_5_42,DOI:10.1145/2046707.2093484,Poster: control-flow integrity for smartphones,https://doi.org/10.1145/2046707.2093484
ACM_5_43,DOI:10.1145/3544548.3581113,ChartDetective: Easy and Accurate Interactive Data Extraction from Complex Vector Charts,https://doi.org/10.1145/3544548.3581113
ACM_5_45,DOI:10.1145/1160633.1160876,Automated analysis and verification of agent behavior,https://doi.org/10.1145/1160633.1160876
ACM_5_47,ISBN:9781467318051,Integrating open source software into software engineering curriculum: challenges in selecting projects,
ACM_5_48,DOI:10.1145/1669112.1669162,Control flow obfuscation with information flow tracking,https://doi.org/10.1145/1669112.1669162
ACM_5_49,DOI:10.1145/1852761.1852777,Comparison of different impact analysis methods and programmer's opinion: an empirical study,https://doi.org/10.1145/1852761.1852777
ACM_5_50,DOI:10.1145/2491956.2462165,Scalable variable and data type detection in a binary rewriter,https://doi.org/10.1145/2491956.2462165
ACM_5_52,ISBN:9781467383899,Security Policy Enforcement in Modern SoC Designs,
ACM_5_53,DOI:10.1145/1240624.1240714,Let's go to the whiteboard: how and why software developers use drawings,https://doi.org/10.1145/1240624.1240714
ACM_6_3,DOI:10.1145/1168054.1168072,Experiences with the development of a reverse engineering tool for UML sequence diagrams: a case study in modern Java development,https://doi.org/10.1145/1168054.1168072
ACM_6_6,DOI:10.1145/3160504.3160558,Using Information Visualization to comprehend user interface layer: an application to web-based systems,https://doi.org/10.1145/3160504.3160558
ACM_6_7,DOI:10.1145/1879211.1879228,Towards anomaly comprehension: using structural compression to navigate profiling call-trees,https://doi.org/10.1145/1879211.1879228
ACM_6_8,DOI:10.1145/2889160.2892649,Towards promoting design and UML modeling practices in the open source community,https://doi.org/10.1145/2889160.2892649
ACM_6_9,DOI:10.1145/3320269.3384766,A Comb for Decompiled C Code,https://doi.org/10.1145/3320269.3384766
ACM_6_10,DOI:10.1145/3319008.3319026,Comparing the Effectiveness of Using Design and Code Measures in Software Faultiness Estimation,https://doi.org/10.1145/3319008.3319026
ACM_6_11,DOI:10.1145/2068736.2068742,Implementing scoped method tracing with ContextJS,https://doi.org/10.1145/2068736.2068742
ACM_6_15,DOI:10.1145/2735386.2735926,Towards the use of slicing techniques for an efficient invariant checking,https://doi.org/10.1145/2735386.2735926
ACM_6_16,DOI:10.1145/1879211.1879227,Dependence cluster visualization,https://doi.org/10.1145/1879211.1879227
ACM_6_18,DOI:10.1145/1731849.1731851,Widget identification and modification for web 2.0 access technologies (WIMWAT),https://doi.org/10.1145/1731849.1731851
ACM_6_19,DOI:10.1145/1294685.1294705,Tool users requirements classification: how software visualization tools measure up,https://doi.org/10.1145/1294685.1294705
ACM_6_20,DOI:10.1145/1146909.1147141,A model-driven design environment for embedded systems,https://doi.org/10.1145/1146909.1147141
ACM_6_21,DOI:10.1145/972627.972635,Compiling with code-size constraints,https://doi.org/10.1145/972627.972635
ACM_6_22,DOI:10.1109/MSR.2017.6,Analyzing program dependencies in Java EE applications,https://doi.org/10.1109/MSR.2017.6
ACM_6_23,DOI:10.1145/2184512.2184552,Design and implementation of a language-complete C++ semantic graph,https://doi.org/10.1145/2184512.2184552
ACM_6_24,DOI:10.1109/ASE.2015.44,Automating the extraction of model-based software product lines from model variants,https://doi.org/10.1109/ASE.2015.44
ACM_6_26,DOI:10.1145/1879211.1879218,User evaluation of polymetric views using a large visualization wall,https://doi.org/10.1145/1879211.1879218
ACM_6_27,DOI:10.1145/2884781.2884825,Decoupling level: a new metric for architectural maintenance complexity,https://doi.org/10.1145/2884781.2884825
ACM_6_31,DOI:10.1145/1411204.1411219,Experience report: playing the DSL card,https://doi.org/10.1145/1411204.1411219
ACM_6_34,DOI:10.1145/1368088.1368142,Defining and continuous checking of structural program dependencies,https://doi.org/10.1145/1368088.1368142
ACM_6_35,,A survey of trace exploration tools and techniques,
ACM_6_36,DOI:10.1145/1094811.1094824,Using dependency models to manage complex software architecture,https://doi.org/10.1145/1094811.1094824
ACM_7_1,DOI:10.1145/3597926.3598121,Improving Binary Code Similarity Transformer Models by Semantics-Driven Instruction Deemphasis,https://doi.org/10.1145/3597926.3598121
ACM_7_2,DOI:10.1145/2556464.2556469,Hardware-enforced Protection against Software Reverse-Engineering based on an Instruction Set Encoding,https://doi.org/10.1145/2556464.2556469
ACM_7_3,DOI:10.1145/2931037.2931047,Binary code is not easy,https://doi.org/10.1145/2931037.2931047
ACM_7_4,DOI:10.1145/2968455.2968505,Speculative disassembly of binary code,https://doi.org/10.1145/2968455.2968505
ACM_7_6,DOI:10.1145/3211346.3211347,Clone-hunter: accelerated bound checks elimination via binary code clone detection,https://doi.org/10.1145/3211346.3211347
ACM_7_7,DOI:10.1145/2508859.2516664,Obfuscation resilient binary code reuse through trace-oriented programming,https://doi.org/10.1145/2508859.2516664
ACM_7_8,DOI:10.1145/3052973.3052974,"BinSequence: Fast, Accurate and Scalable Binary Code Reuse Detection",https://doi.org/10.1145/3052973.3052974
ACM_7_9,DOI:10.1145/3243734.3243827,VMHunt: A Verifiable Approach to Partially-Virtualized Binary Code Simplification,https://doi.org/10.1145/3243734.3243827
ACM_7_10,DOI:10.1145/3611643.3617852,STraceBERT: Source Code Retrieval using Semantic Application Traces,https://doi.org/10.1145/3611643.3617852
ACM_7_11,DOI:10.1145/3611643.3616279,Scalable Program Clone Search through Spectral Analysis,https://doi.org/10.1145/3611643.3616279
ACM_7_12,DOI:10.1145/3243734.3243793,Using Logic Programming to Recover C++ Classes and Methods from Compiled Executables,https://doi.org/10.1145/3243734.3243793
ACM_7_13,DOI:10.1145/3650212.3680301,"Scalable, Sound, and Accurate Jump Table Analysis",https://doi.org/10.1145/3650212.3680301
ACM_7_14,DOI:10.1145/3133956.3137052,FEAST 2017: The Second Workshop on Forming an Ecosystem Around Software Transformation,https://doi.org/10.1145/3133956.3137052
ACM_7_15,DOI:10.1145/3361242.3361251,An approach to helping developers learn open source projects based on machine learning,https://doi.org/10.1145/3361242.3361251
ACM_7_16,DOI:10.1145/3445814.3446765,Incremental CFG patching for binary rewriting,https://doi.org/10.1145/3445814.3446765
ACM_7_18,DOI:10.1145/3350768.3352583,Modifiable Source Code Virtual Views,https://doi.org/10.1145/3350768.3352583
ACM_7_20,DOI:10.1145/3650212.3652144,Evaluating the Effectiveness of Decompilers,https://doi.org/10.1145/3650212.3652144
ACM_7_21,DOI:10.1145/3186411.3186413,Improving Dynamically-Generated Code Performance on Dynamic Binary Translators,https://doi.org/10.1145/3186411.3186413
ACM_7_23,DOI:10.1145/3649860,Understanding and Finding Java Decompiler Bugs,https://doi.org/10.1145/3649860
ACM_7_24,DOI:10.1145/3646548.3676598,Identification of Variability Implementations in TypeScript: the 2Cities Visualization,https://doi.org/10.1145/3646548.3676598
ACM_7_26,DOI:10.1145/3443707,Cryptographic Software IP Protection without Compromising Performance or Timing Side-channel Leakage,https://doi.org/10.1145/3443707
ACM_7_27,DOI:10.1145/3578360.3580255,A Hotspot-Driven Semi-automated Competitive Analysis Framework for Identifying Compiler Key Optimizations,https://doi.org/10.1145/3578360.3580255
ACM_7_28,DOI:10.1145/3646548.3673037,Visualizing Variability Implemented with Object-Orientation and Code Clones: A Tale of Two Cities,https://doi.org/10.1145/3646548.3673037
ACM_7_29,DOI:10.1145/3545948.3545951,Odile: A scalable tracing tool for non-rooted and on-device Android phones,https://doi.org/10.1145/3545948.3545951
ACM_7_30,DOI:10.1145/3584975,OATs’inside: Retrieving Object Behaviors From Native-based Obfuscated Android Applications,https://doi.org/10.1145/3584975
ACM_7_31,DOI:10.1145/3478520,Evaluating Dynamic Binary Instrumentation Systems for Conspicuous Features and Artifacts,https://doi.org/10.1145/3478520
ACM_7_33,DOI:10.1145/3627703.3650065,Polynima: Practical Hybrid Recompilation for Multithreaded Binaries,https://doi.org/10.1145/3627703.3650065
ACM_7_35,DOI:10.1145/3597926.3598097,OCFI: Make Function Entry Identification Hard Again,https://doi.org/10.1145/3597926.3598097
ACM_7_36,DOI:10.1145/3497776.3517776,"BinPointer: towards precise, sound, and scalable binary-level pointer analysis",https://doi.org/10.1145/3497776.3517776
ACM_7_37,DOI:10.1145/3560831.3564258,Program Synthesis-based Simplification of MBA Obfuscated Malware with Restart Strategies,https://doi.org/10.1145/3560831.3564258
ACM_7_38,DOI:10.1145/3695987,Software Product Line Engineering via Software Transplantation ,https://doi.org/10.1145/3695987
ACM_7_39,DOI:10.1145/3607199.3607214,Xunpack: Cross-Architecture Unpacking for Linux IoT Malware,https://doi.org/10.1145/3607199.3607214
ACM_7_40,DOI:10.1145/2950290.2950335,Extracting instruction semantics via symbolic execution of code generators,https://doi.org/10.1145/2950290.2950335
ACM_7_41,DOI:10.1145/3560831.3564257,ApkDiff: Matching Android App Versions Based on Class Structure,https://doi.org/10.1145/3560831.3564257
ACM_7_43,DOI:10.1145/3579856.3582814,AbsIntIO: Towards Showing the Absence of Integer Overflows in Binaries using Abstract Interpretation,https://doi.org/10.1145/3579856.3582814
ACM_7_44,DOI:10.1145/3150376.3150384,Enhancing Control Flow Graph Based Binary Function Identification,https://doi.org/10.1145/3150376.3150384
ACM_7_45,DOI:10.1145/3691620.3695515,LeanBin: Harnessing Lifting and Recompilation to Debloat Binaries,https://doi.org/10.1145/3691620.3695515
ACM_7_46,DOI:10.1145/3555858.3555948,The Sincerest Form of Flattery: Large-Scale Analysis of Code Re-Use in Atari 2600 Games,https://doi.org/10.1145/3555858.3555948
ACM_7_47,,A novel technique for control flow obfuscation in JVM applications using InvokeDynamic with native bootstrapping,
ACM_7_48,DOI:10.1145/3446804.3446851,Helper function inlining in dynamic binary translation,https://doi.org/10.1145/3446804.3446851
ACM_7_50,DOI:10.1145/3573834.3574541,Generic O-LLVM Automatic Multi-architecture Deobfuscation Framework Based on Symbolic Execution,https://doi.org/10.1145/3573834.3574541
ACM_7_51,DOI:10.1145/3338906.3338966,Locating vulnerabilities in binaries via memory layout recovering,https://doi.org/10.1145/3338906.3338966
ACM_8_1,DOI:10.1145/3338906.3338965,A framework for writing trigger-action todo comments in executable format,https://doi.org/10.1145/3338906.3338965
ACM_8_3,DOI:10.1145/3328433.3328434,PolyJuS: a Squeak/Smalltalk-based polyglot notebook system for the GraalVM,https://doi.org/10.1145/3328433.3328434
ACM_8_4,DOI:10.1145/2830772.2830775,"An integrated concurrency and core-ISA architectural envelope definition, and test oracle, for IBM POWER multiprocessors",https://doi.org/10.1145/2830772.2830775
ACM_8_5,DOI:10.1145/3548606.3560672,Cache Refinement Type for Side-Channel Detection of Cryptographic Software,https://doi.org/10.1145/3548606.3560672
ACM_8_6,DOI:10.1145/3368826.3377925,A performance-optimizing compiler for cyber-physical digital microfluidic biochips,https://doi.org/10.1145/3368826.3377925
ACM_8_7,DOI:10.1109/IAT.2006.112,Specification and Verification of Dynamics in Cognitive Agent Models,https://doi.org/10.1109/IAT.2006.112
ACM_8_8,,A survey of ahead-of-time technologies in dynamic language environments,
ACM_8_10,DOI:10.1145/3316415,From Hack to Elaborate Technique—A Survey on Binary Rewriting,https://doi.org/10.1145/3316415
ACM_8_11,,Code artificiality: a metric for the code stealth based on an N-gram model,
ACM_8_12,DOI:10.1145/3460437,A Framework for Validation of Synthesized MicroElectrode Dot Array Actuations for Digital Microfluidic Biochips,https://doi.org/10.1145/3460437
ACM_8_13,DOI:10.1145/3168826,A compiler for cyber-physical digital microfluidic biochips,https://doi.org/10.1145/3168826
ACM_8_14,DOI:10.1145/1534480.1534486,Virtual microcontrollers,https://doi.org/10.1145/1534480.1534486
ACM_8_15,DOI:10.1145/2663761.2664191,Detecting binary theft via static major-path birthmarks,https://doi.org/10.1145/2663761.2664191
ACM_8_16,DOI:10.1145/3569966.3570114,Silq2Qiskit - Developing a quantum language source-to-source translator,https://doi.org/10.1145/3569966.3570114
ACM_8_17,DOI:10.1145/2505879.2505897,Coq: the world's best macro assembler?,https://doi.org/10.1145/2505879.2505897
ACM_8_18,DOI:10.1145/3319535.3354249,Intriguer: Field-Level Constraint Solving for Hybrid Fuzzing,https://doi.org/10.1145/3319535.3354249
ACM_8_19,DOI:10.1145/2983990.2983996,"The missing link: explaining ELF static linking, semantically",https://doi.org/10.1145/2983990.2983996
ACM_8_21,DOI:10.1145/2843859.2843862,Pinpointing and Hiding Surprising Fragments in an Obfuscated Program,https://doi.org/10.1145/2843859.2843862
ACM_8_22,ISBN:9783981080186,Using multi-objective design space exploration to enable run-time resource management for reconfigurable architectures,
ACM_8_23,DOI:10.1145/3517133,"Assessment of Code, Which Aspects Do Teachers Consider and How Are They Valued?",https://doi.org/10.1145/3517133
ACM_8_24,DOI:10.1145/1288940.1288973,BlueJEP: a flexible and high-performance Java embedded processor,https://doi.org/10.1145/1288940.1288973
ACM_8_25,DOI:10.1145/3365000,Model-driven Game Development: A Literature Review,https://doi.org/10.1145/3365000
ACM_8_26,DOI:10.1145/974044.974080,Collecting whole-system reference traces of multiprogrammed and multithreaded workloads,https://doi.org/10.1145/974044.974080
ACM_8_28,DOI:10.1109/WIIAT.2008.65,Development of Virtual Agents with a Theory of Emotion Regulation,https://doi.org/10.1109/WIIAT.2008.65
ACM_8_29,ISBN:9781467317535,The role of artificial intelligence in software engineering,
ACM_8_30,ISBN:3642161448,A visual traceability modeling language,
ACM_8_31,DOI:10.1145/1146809.1146811,"A machine-checked model for a Java-like language, virtual machine, and compiler",https://doi.org/10.1145/1146809.1146811
IEEE_1_1,DOI:10.1109/TDSC.2023.3339569,AIM: Automatic Interrupt Modeling for Dynamic Firmware Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10342806
IEEE_1_2,DOI:10.1109/DSN58291.2024.00054,FIRMRES: Exposing Broken Device-Cloud Access Control in IoT Through Static Firmware Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646632
IEEE_1_3,DOI:10.1109/EIConRus.2017.7910598,Machine learning for embedded devices software analysis via hardware platform emulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7910598
IEEE_1_4,DOI:10.1109/ICCECE51280.2021.9342303,"Large Scale Firmware Analysis For Open Source Components, Hard Coding and Weak Passwords",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342303
IEEE_1_5,DOI:10.1145/3597503.3623336,LibvDiff: Library Version Difference Guided OSS Version Identification in Binaries,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548834
IEEE_1_6,DOI:10.1109/PST52912.2021.9647781,"PIdARCI: Using Assembly Instruction Patterns to Identify, Annotate, and Revert Compiler Idioms",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647781
IEEE_1_7,DOI:10.1109/ACCESS.2023.3342162,Embedded Firmware Rehosting System Through Automatic Peripheral Modeling,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10356060
